,Penalty,Against,Beneficiary,Pos,Ref Crew,Quarter,Time left,Down,Distance,Yards,Home,Phase,Winner,Loser,Prime Time
0,False Start,LAR,BUF,OL,Carl Cheffers,1,568,2,5,5,Yes,Offense,BUF,LAR,YES
1,Horse Collar Tackle,LAR,BUF,LB,Carl Cheffers,1,113,1,10,15,Yes,Defense,BUF,LAR,YES
2,Defensive Holding,BUF,LAR,DL,Carl Cheffers,2,440,1,10,5,No,Defense,BUF,LAR,YES
3,Defensive Too Many Men on Field,LAR,BUF,NP,Carl Cheffers,2,136,3,12,5,Yes,Defense,BUF,LAR,YES
4,Defensive Holding,BUF,LAR,DB,Carl Cheffers,2,105,3,10,5,No,Defense,BUF,LAR,YES
5,False Start,BUF,LAR,OL,Carl Cheffers,3,651,3,2,5,No,Offense,BUF,LAR,YES
6,False Start,BUF,LAR,OL,Carl Cheffers,3,311,1,10,5,No,Offense,BUF,LAR,YES
7,False Start,LAR,BUF,WR,Carl Cheffers,4,557,2,10,5,Yes,Offense,BUF,LAR,YES
8,Taunting,BUF,LAR,DB,Carl Cheffers,4,426,1,10,15,No,Defense,BUF,LAR,YES
9,Ineligible Downfield Pass,ATL,NO,OL,Alex Kemp,1,654,3,5,0,Yes,Offense,NO,ATL,NO
10,Delay of Game,NO,ATL,NP,Alex Kemp,1,344,0,0,5,No,Special Teams,NO,ATL,NO
11,Neutral Zone Infraction,NO,ATL,DL,Alex Kemp,1,123,1,10,5,No,Defense,NO,ATL,NO
12,Offensive Holding,ATL,NO,OL,Alex Kemp,2,522,2,10,10,Yes,Offense,NO,ATL,NO
13,Defensive Offside,ATL,NO,DL,Alex Kemp,2,372,2,4,5,Yes,Defense,NO,ATL,NO
14,Unnecessary Roughness,NO,ATL,LB,Alex Kemp,2,227,1,10,15,No,Defense,NO,ATL,NO
15,Defensive Pass Interference,NO,ATL,DB,Alex Kemp,3,418,1,10,39,No,Defense,NO,ATL,NO
16,Offensive Holding,ATL,NO,OL,Alex Kemp,3,101,1,10,10,Yes,Offense,NO,ATL,NO
17,Defensive Holding,NO,ATL,DB,Alex Kemp,3,81,1,20,5,No,Defense,NO,ATL,NO
18,False Start,ATL,NO,TE,Alex Kemp,4,775,2,4,5,Yes,Offense,NO,ATL,NO
19,Offensive Holding,ATL,NO,OL,Alex Kemp,4,771,3,9,0,Yes,Offense,NO,ATL,NO
20,Delay of Game,ATL,NO,NP,Alex Kemp,4,432,4,2,5,Yes,Special Teams,NO,ATL,NO
21,Defensive Offside,ATL,NO,LB,Alex Kemp,4,251,1,10,5,Yes,Defense,NO,ATL,NO
22,Illegal Shift,NO,ATL,TE,Alex Kemp,4,218,0,0,0,No,Offense,NO,ATL,NO
23,Defensive Holding,NO,ATL,DB,Alex Kemp,4,119,3,6,5,No,Defense,NO,ATL,NO
24,Delay of Game,ATL,NO,NP,Alex Kemp,4,54,4,1,5,Yes,Special Teams,NO,ATL,NO
25,Offensive Holding,ATL,NO,LS,Alex Kemp,4,54,4,6,10,Yes,Special Teams,NO,ATL,NO
26,Intentional Grounding,NO,ATL,QB,Alex Kemp,4,38,1,10,10,No,Offense,NO,ATL,NO
27,Unnecessary Roughness,NO,ATL,DB,Alex Kemp,4,6,1,10,15,No,Defense,NO,ATL,NO
28,Offensive Holding,CAR,CLE,TE,Brad Rogers,1,526,2,6,10,Yes,Offense,CLE,CAR,NO
29,Offensive Holding,CLE,CAR,OL,Brad Rogers,1,405,1,10,10,No,Offense,CLE,CAR,NO
30,Defensive Holding,CAR,CLE,DB,Brad Rogers,1,304,3,5,5,Yes,Defense,CLE,CAR,NO
31,Delay of Game,CAR,CLE,NP,Brad Rogers,1,71,3,5,5,Yes,Offense,CLE,CAR,NO
32,Roughing the Passer,CLE,CAR,DL,Brad Rogers,1,71,3,10,15,No,Defense,CLE,CAR,NO
